"","id","Wikipedia_Link","Name","Country","Born","Dead","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"1",1,"https://en.wikipedia.org/wiki/Aryabhata","Aryabhata ","India",476,550,"India",22.3511148,78.6677428,6.2325274,35.6745457,68.1113787,97.395561
"2",2,"https://en.wikipedia.org/wiki/Democritus","Democritus ","Greece",-460,-360,"Greece",38.9953683,21.9877132,34.7006096,41.7488889,19.2477876,29.7296986
"3",3,"https://en.wikipedia.org/wiki/Heraclides_Ponticus","Heraclides Ponticus ","Greece",-387,-312,"Greece",38.9953683,21.9877132,34.7006096,41.7488889,19.2477876,29.7296986
"4",4,"https://en.wikipedia.org/wiki/Aristotle","Aristotle ","Greece",-384,-322,"Greece",38.9953683,21.9877132,34.7006096,41.7488889,19.2477876,29.7296986
"5",5,"https://en.wikipedia.org/wiki/Aristarchus_of_Samos","Aristarchus of Samos ","Greece",-310,-230,"Greece",38.9953683,21.9877132,34.7006096,41.7488889,19.2477876,29.7296986
"6",6,"https://en.wikipedia.org/wiki/Lucretius","Lucretius ","Italy",-287,-55,"Italy",42.6384261,12.674297,35.2889616,47.0921462,6.6272658,18.7844746
"7",7,"https://en.wikipedia.org/wiki/Archimedes","Archimedes ","Italy",-98,-212,"Italy",42.6384261,12.674297,35.2889616,47.0921462,6.6272658,18.7844746
"8",8,"https://en.wikipedia.org/wiki/Alhazen","Alhazen ","Iraq",965,1040,"Iraq",33.0955793,44.1749775,29.0585661,37.3806687,38.7936719,48.8412702
"9",9,"https://en.wikipedia.org/wiki/Ibn_al-Haytham","Ibn al-Haytham ","Iraq",965,1039,"Iraq",33.0955793,44.1749775,29.0585661,37.3806687,38.7936719,48.8412702
"10",10,"https://en.wikipedia.org/wiki/Ab%C5%AB_Rayh%C4%81n_al-B%C4%ABr%C5%ABn%C4%AB","Abu Rayhan al-Biruni ","Uzbekistan",973,1048,"Uzbekistan",41.32373,63.9528098,37.1821164,45.5905053,55.9988919,73.1397362
"11",11,"https://en.wikipedia.org/wiki/Avicenna","Avicenna ","Uzbekistan",980,1037,"Uzbekistan",41.32373,63.9528098,37.1821164,45.5905053,55.9988919,73.1397362
"12",12,"https://en.wikipedia.org/wiki/Shen_Kuo","Shen Kuo ","China",1031,1095,"China",35.000074,104.999927,8.8383436,53.5608154,73.4997347,134.7754563
"13",13,"https://en.wikipedia.org/wiki/Nicole_Oresme","Nicole Oresme ","France",1325,1382,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"14",14,"https://en.wikipedia.org/wiki/William_Gilbert_(astronomer)","William Gilbert ","England",1544,1603,"England",52.7954791,-0.540240286617432,49.674,55.917,-6.7047494,2.0919117
"15",15,"https://en.wikipedia.org/wiki/Tycho_Brahe","Tycho Brahe ","Denmark",1546,1601,"Denmark",55.670249,10.3333283,54.4516667,57.9524297,7.7153255,15.5530641
"16",16,"https://en.wikipedia.org/wiki/Simon_Stevin","Simon Stevin ","Belgium",1548,1620,"Belgium",50.6402809,4.6667145,49.4969821,51.550781,2.3889137,6.408097
"17",17,"https://en.wikipedia.org/wiki/Galileo_Galilei","Galileo Galilei ","Italy",1564,1642,"Italy",42.6384261,12.674297,35.2889616,47.0921462,6.6272658,18.7844746
"18",18,"https://en.wikipedia.org/wiki/Johannes_Kepler","Johannes Kepler ","Germany",1571,1630,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"19",19,"https://en.wikipedia.org/wiki/Willebrord_Snell","Willebrord Snell ","Netherlands",1580,1626,"Netherlands",52.5001698,5.7480821,11.777,53.744025,-70.2695876,7.2274985
"20",20,"https://en.wikipedia.org/wiki/Isaac_Beeckman","Isaac Beeckman ","Netherlands",1588,1637,"Netherlands",52.5001698,5.7480821,11.777,53.744025,-70.2695876,7.2274985
"21",21,"https://en.wikipedia.org/wiki/Evangelista_Torricelli","Evangelista Torricelli ","Italy",1608,1647,"Italy",42.6384261,12.674297,35.2889616,47.0921462,6.6272658,18.7844746
"22",22,"https://en.wikipedia.org/wiki/Blaise_Pascal","Blaise Pascal ","France",1623,1662,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"23",23,"https://en.wikipedia.org/wiki/Robert_Boyle","Robert Boyle ","Ireland",1627,1691,"Ireland",52.865196,-7.9794599,51.222,55.636,-11.0133788,-5.6582363
"24",24,"https://en.wikipedia.org/wiki/Christiaan_Huygens","Christiaan Huygens ","Netherlands",1629,1695,"Netherlands",52.5001698,5.7480821,11.777,53.744025,-70.2695876,7.2274985
"25",25,"https://en.wikipedia.org/wiki/Robert_Hooke","Robert Hooke ","England",1635,1703,"England",52.7954791,-0.540240286617432,49.674,55.917,-6.7047494,2.0919117
"26",26,"https://en.wikipedia.org/wiki/Sir_Isaac_Newton","Sir Isaac Newton ","England",1642,1727,"England",52.7954791,-0.540240286617432,49.674,55.917,-6.7047494,2.0919117
"27",27,"https://en.wikipedia.org/wiki/Burchard_de_Volder","Burchard de Volder ","Netherlands",1643,1709,"Netherlands",52.5001698,5.7480821,11.777,53.744025,-70.2695876,7.2274985
"28",28,"https://en.wikipedia.org/wiki/Gottfried_Wilhelm_Leibniz","Gottfried Wilhelm Leibniz ","Germany",1646,1716,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"29",29,"https://en.wikipedia.org/wiki/Ren%C3%A9_Antoine_Ferchault_de_R%C3%A9aumur","René Antoine Ferchault de Réaumur ","France",1683,1757,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"30",30,NA,"Daniel Gabriel Fahrenheit ","Germany",1686,1736,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"31",31,"https://en.wikipedia.org/wiki/Willem_%27s_Gravesande","Willem 's Gravesande ","Netherlands",1688,1742,"Netherlands",52.5001698,5.7480821,11.777,53.744025,-70.2695876,7.2274985
